,Gun_related_deaths,Pisa_ranking,Cities,Homosexuality_acceptance,VAT_Sales_Tax,Sport_venues,GDP_per_capita,Growth_percentage,Unemployment_percentage,Average_Annual_percent_sunshine,Housing,Culture,Travel_connectivity,predict
152,11,46,Mexico-City,61.0,0.16,217,17880.51,0.01,0.04,12.5,710,441,0.29,0
157,0,0,Minsk,56.93,0.2,118,18161.43,0.04,0.01,13.0,400,282,0.38,0
158,12,34,Montevideo,96.4,0.22,69,20556.33,0.01,0.08,302.0,753,206,0.12,0
160,25,21,Moscow,16.0,0.18,309,24805.49,0.06,0.08,0.0,1180,747,0.905,0
161,0,0,Mumbai,24.29,0.06,105,5855.31,0.04,0.08,12.5,740,341,0.54,0
163,33,0,Nairobi,8.0,0.16,28,3084.43,0.14,0.4,12.5,680,149,0.2299999999999999,0
179,0,0,Palo-Alto,0.0,0.0,0,0.0,0.01,0.05,0.0,0,0,0.0,0
180,15,0,Panama,60.76,0.07,41,19455.42,0.09,0.05,102.0,1160,184,0.2,0
184,1,0,Phnom-Penh,55.34,0.1,13,3262.55,0.12,0.0,282.0,656,50,0.125,0
186,1,43,Phuket,61.15,0.1,30,14354.3,0.36,0.01,12.5,586,259,0.18,0
189,2,18,Porto,95.36,0.23,126,26974.63,-0.03,0.11,12.7,730,257,0.31,0
190,21,52,Porto-Alegre,60.0,0.42,89,16096.32,0.0,0.13,242.0,530,393,0.095,0
194,16,0,Quito,86.69,0.12,37,11244.2,0.09,0.06,12.5,523,207,0.09,0
198,1,25,Riga,74.15,0.21,136,23706.56,-0.03,0.1,13.1,580,371,0.24,0
199,21,52,Rio-De-Janeiro,60.0,0.42,144,16096.32,0.02,0.13,12.5,763,511,0.15,0
204,25,21,Saint-Petersburg,16.0,0.18,195,24805.49,0.03,0.08,13.3,720,452,0.585,0
209,8,39,San-Jose,77.43,0.13,101,14864.27,0.03,0.09,271.0,833,352,0.12,0
210,16,0,San-Juan,73.0,0.0,21,0.0,-0.03,0.0,70.0,953,231,0.14,0
212,46,0,San-Salvador,34.0,0.13,38,8020.62,-0.01,0.06,12.5,580,161,0.105,0
213,2,37,Santiago,68.0,0.19,196,22971.44,0.07,0.07,12.5,726,289,0.255,0
214,16,0,Santo-Domingo,41.72,0.18,30,13012.18,0.05,0.14,12.5,493,199,0.1,0
215,21,52,Sao-Paulo,60.0,0.42,307,16096.32,0.03,0.13,12.5,763,790,0.225,0
216,2,0,Sarajevo,78.59,0.17,14,9833.2,-0.01,0.43,236.0,366,77,0.12,0
221,0,8,Shanghai,21.0,0.17,92,12879.85,0.09,0.04,12.6,1300,390,0.685,0
223,2,0,Skopje,61.3,0.18,99,13348.78,0.02,0.25,12.7,350,223,0.1699999999999999,0
224,2,36,Sofia,79.88,0.2,36,17860.31,0.03,0.09,12.7,446,116,0.27,0
230,3,4,Tallinn,75.08,0.2,27,26998.78,-0.05,0.07,13.2,710,278,0.2,0
233,3,4,Tartu,75.08,0.2,4,26998.78,-0.06,0.07,236.0,570,91,0.14,0
234,1,0,Tashkent,47.99,0.2,22,5609.37,0.02,0.05,113.0,293,132,0.275,0
235,2,0,Tbilisi,80.63,0.18,20,7653.03,-0.02,0.12,12.7,423,132,0.225,0
236,1,0,Tehran,10.42,0.09,79,17113.56,0.05,0.11,12.6,770,411,0.315,0
239,2,35,Thessaloniki,53.0,0.24,48,25858.77,-0.01,0.25,0.0,450,257,0.2249999999999999,0
243,33,49,Tunis,23.49,0.18,48,11299.94,0.09,0.15,12.7,306,188,0.26,0
253,2,30,Vilnius,82.2,0.21,24,27051.09,0.01,0.08,49.4,630,161,0.21,0
254,0,14,Warsaw,42.0,0.23,61,25105.4,0.02,0.1,12.9,863,153,0.39,0
258,0,10,Wroclaw,42.0,0.23,10,25105.4,-0.01,0.1,12.9,683,118,0.2249999999999999,0
259,1,0,Yerevan,59.44,0.2,22,7373.53,0.02,0.18,286.0,346,238,0.175,0
260,3,22,Zagreb,80.17,0.25,35,20888.82,0.01,0.16,12.8,560,216,0.2,0
