,Climate,Growth,GDP_per_capita,Unemployment,Homosexuality_acceptance,LGBT_adoption_rights,LGBT_homosexuality_rights,LGBT_marriage_rights,VAT_Sales_Tax,Art_galleries,Concert_venues,Museums,Sport_venues,Currency_for_urban_area,GDP_per_capita,Monthly_Fitness_Club_Membership,Beer,Monthly_Public_Transport,Lunch,Airport_score,Airport_hub,Intercity_train_connectivity,Gun_related_deaths,Guns_per_residents,Pisa_ranking,Best_university,Large_apartment,Medium_apartment,Small_apartment,Description,Poblacion,Cities
21,209.5,1%,"$39,511",5%,0.76,✔ Legal,✔ Legal,✔ Legal,0.20,58,47,17,13,GBP,$39510.94,$40.00,$2.40,$83.00,$15.00,0.23,38,0.59,0,6,17,Queen’s University Belfast,$1100,$950,$780,"Belfast, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","344,600",Belfast
22,75,-1%,"$13,329",19%,75.85,✔ Equal,✔ Sexual orientation and gender identity,0.71,0.20,39,63,29,90,RSD,$13329.15,$33.00,$0.73,$31.00,$9.40,0.28,51,0.14,3,58,0.39,University of Belgrade,$620,$490,$350,"Belgrade, Serbia, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and tolerance.
Belgrade is one of the top ten city matches for 2.0% of Teleport users.","1,737,800",Belgrade
23,12.5,16%,"$5,855",8%,24.29,✔ Equal,Ambiguous,0.48,0.06,63,59,16,63,INR,$5855.31,$30.00,$1.60,$24.00,$3.80,0.24,40,0.57,0,4,No hay dato,Indian Institute of Science,$430,$330,$230,"Bengaluru, India, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, startups and venture capital.
Bengaluru is one of the top ten city matches for 2.0% of Teleport users.","5,498,100",Bengaluru
24,113,7%,"$66,937",5%,93.13,✔ Equal,✔ Sexual orientation and gender identity,0.57,0.25,34,35,36,28,NOK,$66937.46,$54.00,$4.00,$90.00,$22.00,0.28,49,0.37,2,31,13,University of Bergen,$1800,$1500,$1200,"Bergen, Norway, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.","271,500",Bergen
25,160,0%,"$45,888",4%,0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,90,109,159,48,EUR,$45888.42,$41.00,$1.20,$100.00,$10.00,0.63,142,0.78,1,30,10,Humboldt University of Berlin,$1500,$1200,$850,"Berlin is a sprawling, diverse metropolis, home to people from around the world. Although it is roughly nine times the size of Paris, Berlin's key districts are well-connected by public transport or cycling roads, and many even close enough for walking. The flexible work environment combined with easy access to venture capital attracts young people and entrepreneurs, making Berlin one of the most vibrant startup scenes in Europe.
Berlin is one of the top ten city matches for 30.8% of Teleport users.","8,690,300",Berlin
26,213,1%,"$58,087",3%,81.79,✔ Equal,✔ Sexual orientation and gender identity,0.88,0.08,28,54,32,18,CHF,$58087.21,$110.00,$1.70,$91.00,$23.00,0.35,152,0.70,3,24,11,University of Bern,$2200,$1700,$1200,"Bern, Switzerland, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in business freedom, healthcare and environmental quality.
Bern is one of the top ten city matches for 2.3% of Teleport users.","233,100",Bern
27,35,82,No hay dato,No hay dato,0.88,✔ Legal,✔ Legal,✔ Legal,No hay dato,43,52,20,17,EUR,$33711.41,$56.00,$1.10,$51.00,$15.00,0.25,42,0.59,1,10,17,490.84,$1300,$1100,$840,"Bilbao, Spain, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and healthcare.",42,Bilbao
28,12.9,3%,"$39,511",5%,0.76,✔ Legal,✔ Legal,✔ Legal,0.20,83,96,43,92,GBP,$39510.94,$34.00,$3.00,$82.00,$16.00,0.48,102,0.69,0,6,17,University of Birmingham,$1600,$1500,$1300,"Birmingham, United Kingdom, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in safety and healthcare.
Birmingham is one of the top ten city matches for 0.6% of Teleport users.","2,715,300",Birmingham
29,12.5,7%,"$13,430",10%,89.16,✔ Equal,Sexual orientation only,0.80,0.16,70,44,57,75,COP,$13430.45,$46.00,$0.96,$35.00,$4.60,0.38,76,No hay dato,26,6,48,University of the Andes,$710,$570,$430,"Bogota, Colombia, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, tolerance and outdoors.
Bogota is one of the top ten city matches for 1.4% of Teleport users.","8,531,700",Bogota
30,120,13%,"$54,597",5%,72.81,✔ Equal,✖ No protections,0.65,0.06,83,76,33,30,USD,$54596.65,$31.00,$1.60,$36.00,$13.00,0.15,16,0.11,14,185,16,478.04,$1300,$1000,$800,"Boise, Idaho, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.","395,900",Boise
31,288,-1%,"$35,486",11%,0.74,✖ Illegal,✔ Legal,✔ Civil unions,0.22,103,92,65,61,EUR,$35486.17,$66.00,$1.70,$45.00,$20.00,0.33,64,0.40,1,12,26,University of Bologna,$1200,$930,$670,"Bologna, Italy, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","521,100",Bologna
32,12.8,2%,"$40,375",10%,0.77,✔ Legal,✔ Legal,✔ Legal,0.20,60,66,34,97,EUR,$40374.53,$50.00,$2.60,$33.00,$18.00,0.28,49,0.70,3,31,19,University of Bordeaux,$1300,$1000,$680,"Bordeaux, France, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.
Bordeaux is one of the top ten city matches for 0.2% of Teleport users.","774,800",Bordeaux
33,98,0%,"$54,597",5%,96.88,✔ Equal,✔ Sexual orientation and gender identity,0.70,0.06,327,280,178,179,USD,$54596.65,$74.00,$2.80,$79.00,$14.00,0.48,103,0.16,3,35,24,Massachusetts Institute of Technology,$2900,$2500,$2100,"One of the oldest and most historic cities in the US, Boston is a center of higher education with some of the top universities in the world. It has also developed a vibrant technology scene and is home to numerous venture capital firms, all supporting high rates of innovation and entrepreneurship. Add its tolerant environment, great quality of healthcare and beautiful New England nature, and you've got an enticing city that attracts talent from around the world.
Boston is one of the top ten city matches for 12.8% of Teleport users.","5,095,400",Boston
34,324,2%,"$54,597",5%,93.13,✔ Equal,✔ Sexual orientation and gender identity,0.90,0.09,65,72,14,12,USD,$54596.65,$72.00,$2.60,$89.00,$13.00,0.73,169,0.11,12,103,24,University of Colorado Boulder,$2300,$1800,$1300,"Boulder, Colorado, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.
Boulder is one of the top ten city matches for 13.4% of Teleport users.","129,600",Boulder
35,326,13%,"$54,597",5%,50.11,✔ Equal,✖ No protections,0.96,No hay dato,29,0.14,0.28,0.10,USD,$54596.65,$20.00,$2.00,$11.00,$58.00,0.12,7,0.12,17,112,24,Montana State University,$1600,$1300,$980,"Bozeman, Montana, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.","54,600",Bozeman
36,12.8,0%,"$28,175",10%,69.26,✔ Equal,✔ Sexual orientation and gender identity,0.59,0.20,61,59,62,32,EUR,$28175.34,$38.00,$0.85,$36.00,$6.90,0.65,149,0.33,2,8,34,Comenius University in Bratislava,$1000,$820,$630,"Bratislava, Slovakia, features a very safe living environment. Our data reflects that this city has a good ranking in housing and cost of living.
Bratislava is one of the top ten city matches for 1.7% of Teleport users.","489,100",Bratislava
37,No hay dato,4%,"$39,511",5%,0.76,✔ Legal,✔ Legal,✔ Legal,0.20,79,53,14,9,GBP,$39510.94,$14.00,$2.80,$80.87,$99.00,1.00,176,0.66,0,6,17,University of Sussex,No hay dato,No hay dato,No hay dato,"Brighton, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare.","235,900",Brighton
38,12.5,7%,"$46,433",6%,0.79,N/A,✔ Legal,Varies by Region,0.10,135,115,55,65,AUD,$46433.30,$41.00,$3.40,$100.00,$14.00,0.31,59,0.17,1,24,16,University of Queensland,$1800,$1500,$1300,"Brisbane, Australia, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Brisbane is one of the top ten city matches for 0.7% of Teleport users.","4,093,300",Brisbane
39,116,4%,"$39,511",5%,0.76,✔ Legal,✔ Legal,✔ Legal,0.20,54,55,25,14,GBP,$39510.94,$40.00,$3.00,$88.00,$15.00,0.39,80,0.59,0,6,17,University of Bristol,$2000,$1600,$1200,"Bristol, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and tolerance.","781,300",Bristol
40,12.9,1%,"$29,925",6%,81.25,No hay dato,No hay dato,No hay dato,No hay dato,64,59,47,36,CZK,$29925.13,$37.00,$0.77,$26.00,$6.10,0.10,1,0.42,2,17,21,Masaryk University,$860,$700,$540,"Brno, Czechia, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and healthcare.","403,700",Brno
41,12.9,5%,"$42,973",8%,92.26,✔ Equal,✔ Sexual orientation and gender identity,0.35,0.21,352,355,174,220,EUR,$42973.43,$49.00,$2.40,$64.00,$19.00,0.80,189,0.69,2,17,15,KU Leuven,$1400,$1200,$880,"By Katre Liis Kallas

Life in Brussels is a culturally rich, central-European adventure offering a high quality of life. Home to much of the European Union infrastructure, it attracts a diverse population, while maintaining its distinct identity. You can go hiking in the woods, attend various cultural events and talk to people of multiple nationalities in a single day. The key districts of Brussels are well connected by a quality transportation network, but its compact size also allows for navigation by foot and all the opportunities that creates.
Brussels is one of the top ten city matches for 0.4% of Teleport users.","2,429,800",Brussels
42,12.7,43%,"$19,712",7%,77.95,✔ Equal,✔ Sexual orientation and gender identity,0.94,0.20,58,30,57,88,RON,$19711.63,$52.00,$0.76,$17.00,$7.50,0.34,66,0.36,0,1,40,University of Bucharest,$610,$490,$370,"Bucharest, Romania, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and safety.
Bucharest is one of the top ten city matches for 6.1% of Teleport users.","4,592,600",Bucharest
43,12.8,1%,"$24,942",7%,80.34,✔ Equal,✔ Sexual orientation and gender identity,0.63,0.27,107,105,141,68,HUF,$24942.16,$60.00,$0.95,$40.00,$6.50,0.38,77,0.50,1,6,31,Semmelweis University,$820,$660,$500,"Budapest, Hungary, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, business freedom and safety.
Budapest is one of the top ten city matches for 2.4% of Teleport users.","4,936,300",Budapest
44,124,6%,"$22,582",8%,0.74,✔ Legal,✔ Legal,✔ Legal,0.21,108,152,117,108,ARS,$22582.50,$52.00,$1.40,$16.00,$9.20,0.34,67,0.41,6,10,40,391.41,$750,$620,$480,"Buenos Aires, Argentina, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, leisure & culture and tolerance.
Buenos Aires is one of the top ten city matches for 1.9% of Teleport users.","15,929,300",Buenos-Aires
45,54,-4%,"$54,597",5%,86.72,✔ Equal,Sexual orientation only,0.59,0.09,117,117,37,69,USD,$54596.65,$24.00,$2.20,$68.00,$13.00,0.18,24,0.12,4,26,24,University at Buffalo,$1100,$980,$830,"Buffalo, New York, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","559,900",Buffalo
46,12.6,8%,"$10,877",13%,0.03,✖ Illegal,✖ Illegal (imprisonment as punishment),✖ Not legal,0.13,152,124,79,38,EGP,$10877.19,$30.00,$1.00,$14.00,$5.80,0.40,81,0.35,33,4,No hay dato,Cairo University,$310,$250,$190,"Cairo, Egypt, differentiates itself with low living costs. Our data reflects that this city has a good ranking in housing and safety.","10,660,900",Cairo
47,297.1,11%,"$44,843",7%,0.80,✔ Legal,✔ Legal,✔ Legal,0.05,68,63,22,40,CAD,$44843.44,$55.00,$3.00,$83.00,$14.00,0.31,59,0.19,2,31,5,University of Calgary,$1400,$1200,$990,"Calgary, Canada, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Calgary is one of the top ten city matches for 4.2% of Teleport users.","1,066,700",Calgary
48,No hay dato,6%,"$39,511",5%,0.76,✔ Legal,✔ Legal,✔ Legal,0.20,25,23,15,8,GBP,$39510.94,$58.00,$3.00,$75.00,$19.00,0.79,135,0.59,0,6,17,University of Cambridge,$2300,$1900,$1400,"Cambridge, United Kingdom, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, business freedom and healthcare.","162,300",Cambridge
49,254,9%,"$13,046",27%,0.32,✔ Legal,✔ Legal,✔ Legal,0.14,109,106,76,49,ZAR,$13046.07,$41.00,$1.50,$30.00,$9.00,0.17,22,0.26,33,13,No hay dato,University of Cape Town,$1400,$1100,$780,"Cape Town, South Africa, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, environmental quality and outdoors.
Cape Town is one of the top ten city matches for 0.5% of Teleport users.","3,943,400",cape-town
50,260,127%,"$17,695",11%,0.51,✖ Single only,✔ Legal,✖ Unrecognized,0.12,128,124,42,24,VEF,$17694.52,$4.30,$2.90,$4.50,$4.40,0.26,46,No hay dato,59,11,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,"Caracas, Venezuela, differentiates itself with low living costs. When considering your preferences, this city does not have any category with a high rating.","3,978,700",Caracas
51,12.9,5%,"$39,511",5%,0.76,✔ Legal,✔ Legal,✔ Legal,0.20,46,35,11,19,GBP,$39510.94,$39.00,$2.50,$75.00,$14.00,0.39,80,0.59,0,6,17,Cardiff University,$1200,$1000,$790,"Cardiff, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","484,300",Cardiff
52,No hay dato,7%,"$7,606",10%,9.29,✖ Unequal,✖ No protections,0.49,0.20,56,16,16,21,MAD,$7606.20,$35.00,$1.80,$24.00,$6.50,0.42,87,0.16,33,5,No hay dato,No hay dato,$720,$590,$450,"Casablanca, Morocco, differentiates itself with low living costs. Our data reflects that this city has a good ranking in housing and safety.","3,144,900",Casablanca
53,259,6%,"$54,597",5%,70.00,✔ Equal,✖ No protections,0.45,0.09,100,86,54,33,USD,$54596.65,$54.00,$2.10,$55.00,$12.00,0.17,20,0.11,16,108,16,478.04,$1900,$1600,$1300,"Charleston, South Carolina, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in healthcare and environmental quality.","406,200",Charleston
54,111,14%,"$54,597",5%,67.58,Ambiguous,✖ No protections,0.68,0.07,146,137,36,32,USD,$54596.65,$28.00,$2.30,$82.00,$14.00,0.62,141,0.11,12,95,16,478.04,$1600,$1300,$1100,"Charlotte, North Carolina, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and tolerance.
Charlotte is one of the top ten city matches for 2.6% of Teleport users.","964,200",Charlotte
55,105,3%,"$54,597",5%,70.00,✔ Equal,✖ No protections,0.25,0.09,79,61,20,28,USD,$54596.65,$41.00,$2.30,$30.00,$13.00,0.12,8,0.12,16,96,16,478.04,$1300,$1100,$930,"Chattanooga, Tennessee, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.","422,500",Chattanooga
56,12.5,6%,"$5,855",8%,24.29,✔ Equal,Ambiguous,0.69,0.06,52,81,19,57,INR,$5855.31,$27.00,$2.00,$14.00,$3.00,0.24,40,0.60,0,4,No hay dato,Indian Institute of Technology Madras,$350,$280,$200,"Chennai, India, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, startups and safety.","6,020,700",Chennai
57,12.5,1%,"$14,354",1%,61.15,✔ Equal,✔ Sexual orientation and gender identity,0.76,0.10,102,107,77,43,THB,$14354.30,$39.00,$1.50,$34.00,$2.90,0.19,26,0.15,1,16,47,Chiang Mai University,$600,$450,$300,"Chiang Mai, Thailand, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and taxation.
Chiang Mai is one of the top ten city matches for 0.3% of Teleport users.","201,000",Chiang-Mai
58,84,1%,"$54,597",5%,96.90,✔ Equal,✔ Sexual orientation and gender identity,0.23,0.10,328,315,222,214,USD,$54596.65,$59.00,$2.40,$94.00,$14.00,0.91,217,0.19,9,80,24,University of Chicago,$2100,$1700,$1300,"Chicago, Illinois, is among the best cities with a vibrant startup scene. According to our city rankings, this is a good place to live with high ratings in venture capital, business freedom and healthcare.
Chicago is one of the top ten city matches for 5.5% of Teleport users.","9,999,900",Chicago
59,No hay dato,0%,"$4,979",6%,71.12,✔ Equal,Ambiguous,0.61,0.20,33,22,16,6,MDL,$4979.33,$50.00,$1.00,$9.30,$5.20,0.19,25,0.13,1,7,No hay dato,40,$510,$390,$270,"Chisinau, Moldova, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and tolerance.
Chisinau is one of the top ten city matches for 2.1% of Teleport users.","650,900",Chisinau
60,238.3,1%,"$35,152",5%,93.65,✔ Equal,✔ Sexual orientation and gender identity,0.72,0.15,41,29,11,14,NZD,$35151.75,$42.00,$2.70,$81.00,$12.00,0.17,20,No hay dato,1,23,12,University of Canterbury,$1400,$1100,$870,"Christchurch, New Zealand, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","383,100",Christchurch
61,82,1%,"$54,597",5%,66.79,✔ Equal,✖ No protections,0.39,0.07,189,189,79,79,USD,$54596.65,$31.00,$2.10,$100.00,$12.00,0.27,48,0.11,11,91,24,University of Cincinnati,$1400,$1100,$840,"Cincinnati, Ohio, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.
Cincinnati is one of the top ten city matches for 0.2% of Teleport users.","1,225,000",Cincinnati
62,66,-4%,"$54,597",5%,66.79,✔ Equal,✖ No protections,0.28,0.08,189,124,71,66,USD,$54596.65,$36.00,$1.70,$91.00,$13.00,0.30,56,0.11,11,91,24,Case Western Reserve University,$1200,$970,$770,"Cleveland, Ohio, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.","1,781,100",Cleveland
